,codigo_pais,ano,populacao,gdp
139,ARM,2015,2878598,10553337518.414
140,ARM,2016,2865841,10546136235.5219
141,ARM,2017,2851929,11527458709.0158
142,ARM,2018,2836563,12457940694.7395
143,ARM,2019,2820604,13619290539.2116
144,ABW,2004,93554,2254830726.25698
145,ABW,2005,94495,2360017318.43575
146,ABW,2006,95621,2469782681.56425
147,ABW,2007,96797,2677641340.78212
148,ABW,2008,98006,2843024581.00559
149,ABW,2009,99223,2553793296.08939
150,ABW,2010,100354,2453597206.70391
151,ABW,2011,101304,2637859217.87709
152,ABW,2012,102126,2615208379.88827
153,ABW,2013,102891,2727849720.67039
154,ABW,2014,103607,2790849720.67039
155,ABW,2015,104269,2962907262.56983
156,ABW,2016,104890,2983635195.53073
157,ABW,2017,105454,3092429050.27933
158,ABW,2018,105980,3276184357.5419
159,ABW,2019,106458,3395798882.68156
160,AUS,2004,19925060,614659980082.515
161,AUS,2005,20171732,695692898676.56
162,AUS,2006,20467032,748417562769.636
163,AUS,2007,20830832,855007458585.224
164,AUS,2008,21247876,1056112427190.38
165,AUS,2009,21660898,928762122698.05
166,AUS,2010,22019166,1148890200292.42
167,AUS,2011,22357032,1398701323029.63
168,AUS,2012,22729272,1547649835732.89
169,AUS,2013,23111788,1577301840200.01
170,AUS,2014,23469578,1468597690006.22
171,AUS,2015,23820240,1351768945139.11
172,AUS,2016,24195706,1207580901578.72
173,AUS,2017,24590336,1326882104817.0
174,AUS,2018,24979228,1429733668185.91
175,AUS,2019,25357168,1394671325960.57
176,AUT,2004,8171215,301457562038.541
177,AUT,2005,8227034,316092273276.015
178,AUT,2006,8267771,336280064332.411
179,AUT,2007,8294720,389185571506.052
180,AUT,2008,8321134,432051935642.945
181,AUT,2009,8342939,401758735822.211
182,AUT,2010,8362829,392275107258.667
183,AUT,2011,8391201,431685217367.511
184,AUT,2012,8429641,409401816050.531
185,AUT,2013,8479542,430190979705.962
186,AUT,2014,8546066,442584815286.034
187,AUT,2015,8642422,381971148530.543
188,AUT,2016,8736491,395837353031.499
189,AUT,2017,8797497,417261151844.977
190,AUT,2018,8840518,454991174096.102
191,AUT,2019,8879939,444596155845.254
192,AZE,2004,8556168,8680405740.94125
193,AZE,2005,8656243,13245421880.834
194,AZE,2006,8763353,20981929497.6188
195,AZE,2007,8878408,33049419431.2244
196,AZE,2008,8999697,48851293785.4483
197,AZE,2009,9119630,44292427184.9492
198,AZE,2010,9237203,52909294791.9262
199,AZE,2011,9359018,65952796427.9473
200,AZE,2012,9485577,69679944504.1972
201,AZE,2013,9614478,74160560123.6902
202,AZE,2014,9741879,75239785452.1022
203,AZE,2015,9863485,53076235354.746
204,AZE,2016,9976254,37866996882.9157
205,AZE,2017,10071569,40866627351.9817
206,AZE,2018,10152524,47112470051.7701
207,AZE,2019,10232761,48174235294.1176
208,BHS,2004,343097,9055290000.0
209,BHS,2005,347815,9836200000.0
210,BHS,2006,352672,10167250000.0
211,BHS,2007,357678,10618340000.0
212,BHS,2008,362807,10526000000.0
213,BHS,2009,368064,9981960000.0
214,BHS,2010,373277,10095760000.0
215,BHS,2011,377956,10070450000.0
216,BHS,2012,382073,10720400000.0
217,BHS,2013,385660,10395500000.0
218,BHS,2014,389137,10974800000.0
219,BHS,2015,392707,11672900000.0
220,BHS,2016,395986,11750800000.0
221,BHS,2017,399027,12253500000.0
222,BHS,2018,401911,12653600000.0
223,BHS,2019,404563,13058700000.0
224,BHR,2004,833454,13150159574.4681
225,BHR,2005,901928,15968723404.2553
226,BHR,2006,970986,18504760638.2979
227,BHR,2007,1040545,21730000000.0
228,BHR,2008,1110352,25710904255.3191
229,BHR,2009,1179460,22938218085.1064
230,BHR,2010,1213655,25713271276.5957
231,BHR,2011,1212086,28776595744.6809
232,BHR,2012,1224948,30749308510.6383
233,BHR,2013,1261683,32539468085.1064
234,BHR,2014,1311142,33387712765.9574
235,BHR,2015,1362157,31050638297.8723
236,BHR,2016,1409668,32234973404.2553
237,BHR,2017,1456844,35473776595.7447
238,BHR,2018,1487346,37802005319.1489
239,BHR,2019,1494195,38653318085.1064
240,BGD,2004,138789728,65108544250.0425
241,BGD,2005,140912592,69442943089.4309
242,BGD,2006,142628832,71819083683.7403
243,BGD,2007,144135936,79611888213.148
244,BGD,2008,145421328,91631278239.3237
245,BGD,2009,146706816,102477779556.785
246,BGD,2010,148391136,115279077465.226
247,BGD,2011,150211008,128637983882.833
248,BGD,2012,152090656,133355820262.925
249,BGD,2013,154030144,149990529836.78
250,BGD,2014,155961312,172885432686.945
251,BGD,2015,157830000,195078573252.202
252,BGD,2016,159784576,265236390328.627
253,BGD,2017,161793968,293754781336.0
254,BGD,2018,163683952,321379127909.353
255,BGD,2019,165516224,351238399005.451
256,BRB,2004,268514,3444500000.0
257,BRB,2005,269489,3819500000.0
258,BRB,2006,270436,4217450000.0
259,BRB,2007,271460,4674000000.0
260,BRB,2008,272647,4785250000.0
261,BRB,2009,273801,4465500000.0
262,BRB,2010,274717,4531150000.0
263,BRB,2011,275501,4656400000.0
264,BRB,2012,276207,4613850000.0
265,BRB,2013,276873,4685550000.0
266,BRB,2014,277501,4707600000.0
267,BRB,2015,278095,4734000000.0
268,BRB,2016,278660,4843300000.0
269,BRB,2017,279199,4992300000.0
270,BRB,2018,279702,5110250000.0
271,BRB,2019,280193,5341100000.0
272,BLR,2004,9999713,23141566292.9462
273,BLR,2005,9935166,30210091836.8294
274,BLR,2006,9874700,36961894281.3444
275,BLR,2007,9825990,45275711995.825
276,BLR,2008,9787829,60752106347.126
277,BLR,2009,9757710,50873167326.0414
278,BLR,2010,9731426,57231904542.8755
279,BLR,2011,9706983,61762382327.9319
280,BLR,2012,9693754,65685890438.8922
281,BLR,2013,9691143,75527558966.4473
282,BLR,2014,9693741,78812805039.0743
283,BLR,2015,9700609,56454889146.6088
284,BLR,2016,9708111,47723545321.259
285,BLR,2017,9707874,54725302249.8088
286,BLR,2018,9695573,60031173807.7196
287,BLR,2019,9673971,64410122847.3508
288,BEL,2004,10456164,369214712443.206
289,BEL,2005,10516979,385714762230.039
290,BEL,2006,10582970,408259840868.823
291,BEL,2007,10653698,470922156309.453
292,BEL,2008,10726720,517328087920.078
293,BEL,2009,10801357,483254171097.812
294,BEL,2010,10877948,481420882905.001
295,BEL,2011,10955742,523330354138.133
296,BEL,2012,11031140,496152879924.727
297,BEL,2013,11103260,521791015247.06
298,BEL,2014,11176727,535390200131.018
299,BEL,2015,11248306,462335574841.484
300,BEL,2016,11316837,476062757356.927
301,BEL,2017,11384491,502764720556.354
302,BEL,2018,11448598,543299066998.902
303,BEL,2019,11510569,535865804349.803
304,BLZ,2004,272141,1394273990.60003
305,BLZ,2005,280386,1468145956.19917
306,BLZ,2006,288745,1584207353.22049
307,BLZ,2007,297182,1699214298.91439
308,BLZ,2008,305687,1731921564.0667
309,BLZ,2009,314178,1681473348.43468
310,BLZ,2010,322115,1739070295.44027
311,BLZ,2011,329546,1818831938.17757
312,BLZ,2012,337067,1899503249.8643
313,BLZ,2013,344695,2021757434.18064
314,BLZ,2014,352343,2125125606.25723
315,BLZ,2015,359884,2194709309.24204
316,BLZ,2016,367327,2240593542.9757
317,BLZ,2017,374702,2266664817.08822
318,BLZ,2018,382076,2292787335.62452
319,BLZ,2019,389103,2386792476.10637
320,BEN,2004,7894558,6190270380.49856
321,BEN,2005,8149420,6567654954.38903
322,BEN,2006,8402635,7034111314.88812
323,BEN,2007,8647761,8169048382.83875
324,BEN,2008,8906472,9787734526.23965
325,BEN,2009,9172514,9738626517.00319
326,BEN,2010,9445716,9535345015.78355
327,BEN,2011,9726385,10693321363.6574
328,BEN,2012,10014087,11141358115.8991
329,BEN,2013,10308730,12517845123.9315
330,BEN,2014,10614845,13284527846.9081
331,BEN,2015,10932791,11388160997.1089
332,BEN,2016,11260091,11821065852.1271
333,BEN,2017,11596786,12701655845.9612
334,BEN,2018,11940688,14262408079.7014
335,BEN,2019,12290443,14390708756.988
336,BMU,2004,62759,4484703000.0
337,BMU,2005,62980,4868136000.0
338,BMU,2006,63096,6144000000.0
339,BMU,2007,63181,6767000000.0
340,BMU,2008,63277,6980000000.0
341,BMU,2009,63375,6656000000.0
342,BMU,2010,63466,6634526000.0
343,BMU,2011,63554,6312691000.0
344,BMU,2012,63581,6378188000.0
345,BMU,2013,63527,6465756000.0
346,BMU,2014,63375,6413988000.0
347,BMU,2015,63165,6654541000.0
348,BMU,2016,63090,6899911000.0
349,BMU,2017,63295,7142316000.0
350,BMU,2018,63591,7225977000.0
351,BMU,2019,63833,7423465000.0
352,BTN,2004,649995,682577068.508011
353,BTN,2005,663332,796938571.960642
354,BTN,2006,673273,874989741.101421
355,BTN,2007,681624,1168307584.21345
356,BTN,2008,689741,1227809270.44945
357,BTN,2009,697682,1234015133.10525
358,BTN,2010,705523,1547990911.56653
359,BTN,2011,713338,1777102573.23973
360,BTN,2012,721154,1781280181.55431
361,BTN,2013,728898,1756214316.41385
362,BTN,2014,736362,1907090375.97776
363,BTN,2015,743284,2003596838.78013
364,BTN,2016,749764,2158971711.31564
365,BTN,2017,756130,2591358114.48376
366,BTN,2018,762104,2583335723.83252
367,BTN,2019,767467,2735683408.71698
368,BOL,2004,9216282,8773451751.5121
369,BOL,2005,9377395,9549122905.32852
370,BOL,2006,9542663,11451844902.2214
371,BOL,2007,9711155,13120108008.3477
372,BOL,2008,9880593,16674276285.8956
373,BOL,2009,10051322,17339992193.7322
374,BOL,2010,10223277,19649723722.1034
375,BOL,2011,10396249,23963164696.592
376,BOL,2012,10569697,27084497481.9103
377,BOL,2013,10743352,30659338885.6729
378,BOL,2014,10916991,32996188017.3661
379,BOL,2015,11090090,33000198248.9146
380,BOL,2016,11263016,33941126193.9219
381,BOL,2017,11435535,37508642170.767
382,BOL,2018,11606906,40287647930.5355
383,BOL,2019,11777318,40895322850.9407
384,BIH,2004,4142858,10156541538.399
385,BIH,2005,4094297,11222796336.5426
386,BIH,2006,4058086,12864841905.9543
387,BIH,2007,4007877,15778734264.3787
388,BIH,2008,3943390,19112796623.1175
389,BIH,2009,3877755,17613949091.2294
